"File","Line","ElementType","Pattern","CodeSnippet","Priority","SuggestedTestId"
"\Analysis\StyleAnalysis\Queries\InventoryStockStatusInquiry.razor","64","Data Grid","DxGrid","<DxGrid @ref=""_gridRef""","TBD",""
"\Analysis\StyleAnalysis\Queries\InventoryStockStatusInquiry.razor","87","Data Grid","DxGrid","<DxGridDataColumn FieldName=""RegionSiteGroupId"" Caption=""@Resource.Region"" GroupIndex=""@(++groupIndex)"" Width=""10%"" TextAlignment=""DevExpress.Blazor.GridTextAlignment.Right"" CaptionAlignment=""DevExpress.Blazor.GridTextAlignment.Right"" />","TBD",""
"\Analysis\StyleAnalysis\Queries\InventoryStockStatusInquiry.razor","91","Data Grid","DxGrid","<DxGridDataColumn FieldName=""DistrictGroupId"" Caption=""@Resource.District"" GroupIndex=""@(++groupIndex)"" Width=""10%"" TextAlignment=""DevExpress.Blazor.GridTextAlignment.Right"" CaptionAlignment=""DevExpress.Blazor.GridTextAlignment.Right"" />","TBD",""
"\Analysis\StyleAnalysis\Queries\InventoryStockStatusInquiry.razor","95","Data Grid","DxGrid","<DxGridDataColumn FieldName=""ZoneDescriptionFull"" Caption=""@Resource.Zone"" GroupIndex=""@(++groupIndex)"" Width=""10%"" TextAlignment=""DevExpress.Blazor.GridTextAlignment.Right"" CaptionAlignment=""DevExpress.Blazor.GridTextAlignment.Right"" />","TBD",""
"\Analysis\StyleAnalysis\Queries\InventoryStockStatusInquiry.razor","99","Data Grid","DxGrid","<DxGridDataColumn FieldName=""@nameof(VAppInventoryStockStatu.SiteNameFull)"" GroupIndex=""@(++groupIndex)"" Caption=""@Resource.Site"" MinWidth=""175"">","TBD",""
"\Analysis\StyleAnalysis\Queries\InventoryStockStatusInquiry.razor","103","Dropdown","DxComboBox","<DxComboBox Data=""@GetUniqueValuesForColumn(nameof(VAppInventoryStockStatu.SiteNameFull))""","TBD",""
"\Analysis\StyleAnalysis\Queries\InventoryStockStatusInquiry.razor","110","Data Grid","DxGrid","</DxGridDataColumn>","TBD",""
"\Analysis\StyleAnalysis\Queries\InventoryStockStatusInquiry.razor","112","Data Grid","DxGrid","<DxGridDataColumn FieldName=""@nameof(VAppInventoryStockStatu.ColorDescriptionFull)"" GroupIndex=""@(++groupIndex)"" Caption=""@Resource.Color"" MinWidth=""150"">","TBD",""
"\Analysis\StyleAnalysis\Queries\InventoryStockStatusInquiry.razor","114","Dropdown","DxComboBox","<DxComboBox Data=""@GetUniqueValuesForColumn(nameof(VAppInventoryStockStatu.ColorDescriptionFull))""","TBD",""
"\Analysis\StyleAnalysis\Queries\InventoryStockStatusInquiry.razor","120","Data Grid","DxGrid","</DxGridDataColumn>","TBD",""
"\Analysis\StyleAnalysis\Queries\InventoryStockStatusInquiry.razor","122","Data Grid","DxGrid","<DxGridDataColumn FieldName=""@nameof(VAppInventoryStockStatu.DimensionId)"" GroupIndex=""@(++groupIndex)"" Caption=""@Resource.Dim"" MinWidth=""150"">","TBD",""
"\Analysis\StyleAnalysis\Queries\InventoryStockStatusInquiry.razor","124","Dropdown","DxComboBox","<DxComboBox Data=""@GetUniqueValuesForColumn(nameof(VAppInventoryStockStatu.DimensionId))""","TBD",""
"\Analysis\StyleAnalysis\Queries\InventoryStockStatusInquiry.razor","130","Data Grid","DxGrid","</DxGridDataColumn>","TBD",""
